City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Latitude,Longitude
Trincomalee,100,LK,1562767407,68,81.77,5.82,8.58,81.23
Tuatapere,97,NZ,1562767407,86,52.43,16.62,-46.13,167.69
Mangalore,75,IN,1562767408,94,73.4,4.7,12.87,74.84
Enshi,0,CN,1562767409,93,61.61,4.29,30.29,109.48
Pierre,1,US,1562767409,77,68.0,17.22,44.37,-100.35
Tateyama,100,JP,1562767410,91,75.0,5.06,36.66,137.31
Wattegama,100,LK,1562767410,92,74.21,3.24,7.35,80.68
Tiarei,7,PF,1562767411,83,71.6,2.24,-17.53,-149.33
Bilma,0,NE,1562767411,9,106.43,4.23,18.69,12.92
Adilcevaz,20,TR,1562767412,50,77.0,9.17,38.8,42.73
Biak,100,ID,1562767413,97,62.33,4.12,-0.91,122.88
Pahalgam,1,IN,1562767413,71,68.09,7.23,34.03,75.33
Greenville,90,US,1562767352,83,80.6,3.36,34.85,-82.4
Torrington,1,US,1562767279,77,63.0,3.36,42.06,-104.18
Viedma,28,AR,1562767415,50,56.03,6.33,-40.81,-62.99
Kapit,100,MY,1562767416,83,74.21,2.13,2.02,112.94
Puerto Baquerizo Moreno,75,EC,1562767416,83,71.6,8.05,-0.9,-89.6
Guanica,1,PR,1562767417,74,88.0,12.75,17.97,-66.91
Margate,75,AU,1562767417,58,53.6,12.75,-43.03,147.26
Opuwo,17,NA,1562766836,6,84.29,8.5,-18.06,13.84
Sinazongwe,0,ZM,1562767418,22,74.39,3.67,-17.26,27.46
Moron,100,HT,1562767419,65,83.57,3.09,18.56,-74.26
Ichnya,66,UA,1562767420,67,65.21,11.21,50.86,32.39
Knoxville,40,US,1562767421,83,82.99,4.65,35.96,-83.92
Bathsheba,75,BB,1562767173,70,86.0,20.8,13.22,-59.52
Nanortalik,55,GL,1562767323,82,41.45,4.47,60.14,-45.24
Kralendijk,40,BQ,1562767283,79,84.2,24.16,12.15,-68.27
Sarkand,0,KZ,1562767424,37,74.75,5.41,45.41,79.91
Esperance,40,AU,1562767424,93,50.0,9.17,-33.86,121.89
Pevek,8,RU,1562767425,66,48.29,12.06,69.7,170.27
Ostrovnoy,100,RU,1562767426,92,39.11,18.54,68.05,39.51
Atlantis,0,ZA,1562767426,59,68.0,4.7,-33.57,18.5
Aksu,0,KZ,1562766875,41,77.0,11.18,52.04,76.93
Payo,14,ID,1562767427,97,67.91,2.44,-3.75,103.64
Florianopolis,0,BR,1562767131,77,66.0,9.17,-27.6,-48.55
Kirakira,100,SB,1562767428,88,77.63,10.31,-10.46,161.92
Bubaque,84,GW,1562767428,81,80.51,14.5,11.28,-15.83
Cao Bang,100,VN,1562767429,99,69.53,1.57,22.67,106.25
Nuuk,90,GL,1562767429,100,42.8,10.29,64.17,-51.74
Gazimurskiy Zavod,0,RU,1562767430,66,58.55,1.01,51.55,118.33
Bermejo,0,AR,1562767430,34,76.55,2.13,-22.73,-64.34
Shelopugino,0,RU,1562767431,60,61.79,1.03,51.65,117.56
Paso de Carrasco,0,UY,1562767259,71,55.4,7.76,-34.86,-56.05
La Tuque,87,CA,1562767432,48,77.99,2.62,47.44,-72.79
Saint Anthony,1,US,1562767433,71,60.01,5.82,43.97,-111.68
Nador,20,MA,1562767227,65,82.4,9.17,35.17,-2.93
Tacoronte,40,ES,1562767434,64,75.99,19.46,28.48,-16.41
Kaliua,70,TZ,1562767434,36,83.21,4.79,-5.06,31.79
Puerto Narino,75,CO,1562766884,100,75.2,1.52,-3.77,-70.38
Antsirabe,0,MG,1562767435,53,55.13,2.28,-19.87,47.03
Miranda,0,BR,1562767436,28,84.11,2.51,-20.24,-56.38
Tautira,12,PF,1562767437,83,71.6,2.24,-17.73,-149.15
Mehamn,75,NO,1562767438,81,46.4,9.17,71.03,27.85
Teguise,40,ES,1562767438,57,78.8,17.22,29.06,-13.56
Bara,59,NG,1562767439,43,89.51,0.45,10.41,10.6
Waycross,90,US,1562767439,83,84.99,5.82,31.21,-82.35
Minab,5,IR,1562767440,56,98.6,6.93,27.15,57.07
Samarai,100,PG,1562767441,86,70.79,7.27,-10.62,150.67
Serebryansk,0,KZ,1562767442,80,58.55,5.08,49.68,83.3
Todos Santos,5,MX,1562767442,44,87.01,10.04,23.45,-110.23
Vilhena,0,BR,1562767443,57,75.2,10.29,-12.74,-60.15
Waingapu,0,ID,1562767443,86,66.65,7.7,-9.65,120.26
Male,44,UA,1562767444,75,63.77,10.85,50.74,33.7
Comodoro Rivadavia,90,AR,1562767444,93,42.8,4.7,-45.87,-67.48
Oriximina,66,BR,1562767445,71,83.21,6.93,-1.77,-55.87
Waterloo,75,SL,1562767331,78,82.4,5.82,8.34,-13.07
Atar,0,MR,1562767446,9,105.89,9.62,20.52,-13.05
Chegdomyn,100,RU,1562767447,96,63.59,2.26,51.13,133.04
Kimbe,15,PG,1562767447,85,71.87,5.12,-5.56,150.15
Avon Park,1,US,1562767249,78,84.99,6.93,27.6,-81.51
Sept-Iles,75,CA,1562767324,48,62.6,14.99,50.2,-66.38
Nyurba,66,RU,1562767448,60,65.93,3.62,63.29,118.35
Oudtshoorn,0,ZA,1562767449,63,64.4,8.05,-33.59,22.2
Nelson Bay,0,AU,1562767449,70,55.0,5.82,-32.72,152.14
Luba,79,PH,1562767450,90,76.01,3.65,17.32,120.7
Mykhaylivka,0,UA,1562767451,33,75.2,13.42,47.27,35.22
Kirovskiy,22,RU,1562767452,94,57.29,3.85,45.09,133.51
Tuy Hoa,71,VN,1562767217,68,79.61,5.35,13.08,109.3
Brae,75,GB,1562767453,87,57.2,20.8,60.4,-1.35
Adre,38,TD,1562767454,26,93.47,8.46,13.47,22.2
Luziania,0,BR,1562767370,42,68.0,12.75,-16.25,-47.95
Betlitsa,18,RU,1562767455,73,63.41,7.58,54.01,33.96
Cuiluan,6,CN,1562767456,91,63.77,1.83,47.72,128.65
Puerto Leguizamo,46,CO,1562767457,66,82.49,2.24,-0.19,-74.78
Palu,84,ID,1562767458,86,72.95,3.83,-0.9,119.87
Bonfim,0,BR,1562767459,52,66.2,8.05,-20.33,-44.24
Leeton,53,AU,1562767459,76,55.0,16.11,-34.55,146.4
Gunjur,75,GM,1562767460,66,89.6,8.05,13.18,-16.76
San Quintin,79,PH,1562767460,90,76.01,3.65,17.54,120.52
Saint-Pierre,0,FR,1562767461,31,80.01,5.82,48.95,4.24
Kattivakkam,75,IN,1562767461,62,87.8,12.75,13.22,80.32
Lata,43,IN,1562767462,98,44.69,0.96,30.78,78.62
Broken Hill,27,AU,1562767462,30,59.0,20.8,-31.97,141.45
Natal,75,BR,1562767463,72,78.8,9.17,-5.81,-35.21
Novyy Urengoy,100,RU,1562767464,47,61.07,6.15,66.08,76.63
Tabas,0,IR,1562767464,8,116.6,2.24,33.6,56.92
Alice Springs,0,AU,1562767465,32,51.8,4.7,-23.7,133.88
Wamba,96,CD,1562767466,72,81.41,1.19,2.14,27.99
Mugur-Aksy,100,RU,1562767466,96,45.41,3.56,50.38,90.44
Lorengau,100,PG,1562767337,84,78.71,6.82,-2.02,147.27
Antofagasta,75,CL,1562767205,67,66.99,5.82,-23.65,-70.4
Nioki,79,CD,1562767468,31,92.39,2.24,-2.72,17.69
Moore,1,US,1562767468,78,87.01,6.93,35.34,-97.49
Port Macquarie,0,AU,1562767469,75,44.01,3.36,-31.43,152.91
Kahului,75,US,1562767292,80,75.99,4.7,20.89,-156.47
Zalantun,100,CN,1562767470,89,61.43,4.74,48.0,122.72
Chara,20,GR,1562767471,41,91.4,9.17,39.42,22.43
Prince Rupert,75,CA,1562767312,93,55.4,2.24,54.32,-130.32
Portel,0,BR,1562767472,50,88.97,5.3,-1.94,-50.82
Altona,1,US,1562767472,78,84.0,8.05,41.11,-90.16
Topeka,75,US,1562767203,83,82.4,23.04,39.05,-95.68
Ust-Maya,85,RU,1562767473,86,63.41,3.6,60.42,134.54
Grindavik,90,IS,1562766894,76,55.4,5.82,63.84,-22.43
Lucapa,0,AO,1562767474,15,90.95,3.4,-8.42,20.74
Jalu,0,LY,1562767475,11,105.71,13.82,29.03,21.55
La Rioja,0,AR,1562767475,61,54.05,4.07,-29.41,-66.86
Tupiza,0,BO,1562767476,16,51.71,2.98,-21.44,-65.72
Bardstown,1,US,1562767477,78,87.01,4.41,37.81,-85.47
Port Blair,100,IN,1562767330,79,83.75,16.71,11.67,92.75
Baykit,100,RU,1562767478,96,57.65,1.57,61.68,96.39
Nachingwea,0,TZ,1562767478,36,79.07,4.94,-10.37,38.76
Manono,30,CD,1562767479,23,93.29,5.32,-7.3,27.4
Singaraja,0,ID,1562766888,72,79.07,6.93,-8.11,115.08
Nouakchott,67,MR,1562767480,45,87.8,17.22,18.08,-15.98
Walvis Bay,0,NA,1562767480,25,89.6,8.05,-22.95,14.51
Kroya,0,ID,1562767481,82,72.05,5.61,-6.5,108.06
Wahpeton,90,US,1562767482,88,66.2,10.29,46.27,-96.61
Sharjah,67,AE,1562767343,42,104.0,13.87,25.36,55.39
Ucluelet,90,CA,1562767329,100,60.01,19.46,48.94,-125.55
Butembo,36,CD,1562767483,92,69.89,1.3,0.12,29.29
Shannon,75,IE,1562767484,93,64.4,8.05,52.71,-8.88
Pacific Grove,90,US,1562767484,100,64.99,9.53,36.62,-121.92
Caravelas,92,BR,1562767485,67,71.69,9.86,-17.73,-39.27
Lagoa,0,PT,1562767438,73,75.99,11.41,37.14,-8.45
Thinadhoo,100,MV,1562767273,69,84.65,8.77,0.53,72.93
Marsa Matruh,0,EG,1562767376,74,86.0,9.17,31.35,27.25
Waynesboro,75,US,1562767244,83,84.0,3.78,35.32,-87.76
Santa Maria del Oro,54,MX,1562767487,55,70.43,1.3,25.95,-105.37
Maragogi,24,BR,1562767283,82,77.99,9.55,-9.01,-35.22
Kununurra,0,AU,1562767488,59,62.6,9.48,-15.77,128.74
Menomonie,1,US,1562767229,73,75.99,12.75,44.88,-91.92
Cabo San Lucas,5,MX,1562767240,44,82.99,1.16,22.89,-109.91
Basar,90,IN,1562767489,100,75.2,8.05,27.98,94.69
Amapa,20,HN,1562767490,70,88.0,9.17,15.09,-87.97
Gwadar,100,PK,1562767491,85,84.29,15.43,25.12,62.33
Farafangana,0,MG,1562767491,93,64.85,2.04,-22.82,47.83
Nevers,0,FR,1562767492,32,88.0,8.05,46.99,3.16
